from,to,weight
L05528PNOD1,L05528PNOD1,"3,650"
L05528PNOD1,L05528PNOD2,"1,069"
L05528PNOD1,W03900PMBX0,97
L05528PNOD2,L05374PORA0,"1,308"
L05528PNOD2,L05528PNOD1,"2,315"
L05528PNOD2,L05528PNOD2,"1,727"
L05528PNOD2,L05997PORA0,300
L05528PNOD2,W03900PMBX0,93
L05820PAPP0,L05997PORA0,467
L05820PAPP0,W00707PFLE0,336
L05997PORA0,L05998PORA0,"2,485"
L05998PORA0,L05997PORA0,4
L06036PAPP0,L05528PNOD1,919
L06036PAPP0,L05528PNOD2,979
L06036PAPP0,W03022PNOD1,315
Ml-UAT-env,L04011PAPP0,1
NSCL047PMBX,NSCL169PFAP,2
NSCL047PMBX,W00707PFLE0,79
NSCL114DWSS,NSCL169PFAP,2
NSCL114DWSS,W00707PFLE0,2
NSCL114DWSS,W00928PFLE0,1
NSCL114DWSS,W05691PAPP0,3
NSCL114DWSS,W06178PFLE0,1
NSCL115PNMG,NSCL116PNMG,"1,620"
NSCL115PNMG,W05691PAPP0,2
NSCL115PNMG,W06791PAPP0,282
NSCL116PNMG,W06791PAPP0,264
NSCL138PAPP,L05528PNOD1,"1,622"
NSCL138PAPP,L05528PNOD2,"1,279"
NSCL138PAPP,L05827PAPP0,2
NSCL138PAPP,L06036PAPP0,24
NSCL138PAPP,NSCL169PFAP,2
NSCL138PAPP,W00707PFLE0,18
NSCL138PAPP,W02764PNOD2,545
NSCL138PAPP,W02825PNOD1,3
NSCL138PAPP,W03900PMBX0,17
NSCL138PAPP,W04181PNOD1,126
NSCL139PAPP,L05528PNOD1,"1,300"
NSCL139PAPP,L05528PNOD2,"1,383"
NSCL139PAPP,L05827PAPP0,4
NSCL139PAPP,L06036PAPP0,14
NSCL139PAPP,NSCL169PFAP,3
NSCL139PAPP,W00707PFLE0,14
NSCL139PAPP,W02764PNOD2,583
NSCL139PAPP,W02825PNOD1,3
NSCL139PAPP,W03900PMBX0,21
NSCL139PAPP,W04181PNOD1,8
NSCL139PAPP,W05691PAPP0,2
NSCL139PAPP,W06791PAPP0,407
NSCL169PFAP,W00707PFLE0,5
NSCL169PFAP,W06791PAPP0,384
S03018PAPP0,S03019PAPP0,"24,202"
S03019PAPP0,S03018PAPP0,"23,755"
TEM-VDI-WIN11,NSCL169PFAP,9
TEM-VDI-WIN11,VDI-CL-TI-0024,58
TEM-VDI-WIN11,VDI-CL-TI-0037,59
TEM-VDI-WIN11,VDI-CL-TI-0062,9
TEM-VDI-WIN11,W00707PFLE0,9
TEM-VDI-WIN11,W05416PPSC0,10
TEMPBCM-W2K16S,W05416PPSC0,3
TEMPLATE-TIT-2K,W05416PPSC0,2
TEMPLATE-TIT-2K,W06791PAPP0,166
VDI-CL-TI-0024,TEM-VDI-WIN11,37
VDI-CL-TI-0024,VDI-CL-TI-0037,8
VDI-CL-TI-0024,VDI-CL-TI-0062,2
VDI-CL-TI-0024,W00875DFLE0,223
VDI-CL-TI-0024,W02763PAPP1,11
VDI-CL-TI-0024,W02820DAPP0,315
VDI-CL-TI-0024,W03209DAPP0,350
VDI-CL-TI-0024,W03210DSQL0,"3,254"
VDI-CL-TI-0024,W03211DSQL0,33
VDI-CL-TI-0024,W03212DAPP0,10
VDI-CL-TI-0024,W03537QSQL0,"1,055"
VDI-CL-TI-0024,W03804QAPP0,10
VDI-CL-TI-0024,W05262PAPP0,3
VDI-CL-TI-0024,W05691PAPP0,3
VDI-CL-TI-0024,W05911PCXW0,196
VDI-CL-TI-0024,W05912PCXW0,144
VDI-CL-TI-0024,W06791PAPP0,320
VDI-CL-TI-0037,L05997PORA0,3
VDI-CL-TI-0037,NSCL047PMBX,3
VDI-CL-TI-0037,NSCL169PFAP,276
VDI-CL-TI-0037,TEM-VDI-WIN11,26
VDI-CL-TI-0037,VDI-CL-TI-0024,3
VDI-CL-TI-0037,VDI-CL-TI-0062,13
VDI-CL-TI-0037,W00707PFLE0,223
VDI-CL-TI-0037,W02764PNOD2,33
VDI-CL-TI-0037,W05895PSQL0,3
VDI-CL-TI-0037,W06791PAPP0,397
VDI-CL-TI-0062,TEM-VDI-WIN11,29
VDI-CL-TI-0062,VDI-CL-TI-0024,3
VDI-CL-TI-0062,VDI-CL-TI-0037,12
VDI-CL-TI-0062,W05262PAPP0,1
VDI-CL-TI-0062,W05912PCXW0,251
VDI-CL-TI-0062,W06791PAPP0,433
W00571PAPP0,BTG,24
W00571PAPP0,EC2-Apache-Prod,2
W00571PAPP0,FW_ZONE_B2,1
W00571PAPP0,FW_ZONE_D2,2
W00571PAPP0,L02427PAPP0,7
W00571PAPP0,L02633PAPP0,31
W00571PAPP0,L02694PAPP0,4
W00571PAPP0,L02701PAPP0,3
W00571PAPP0,L03074PAPP0,12
W00571PAPP0,L03075PAPP0,2
W00571PAPP0,L03087PAPP0,4
W00571PAPP0,L03331PAPP01,1
W00571PAPP0,L03455PAPP0,4
W00571PAPP0,L03456PAPP0,3
W00571PAPP0,L04014PAPP0,2
W00571PAPP0,L04067PAPP0,5
W00571PAPP0,L04134PAPP0,17
W00571PAPP0,L04160PAPP0,1
W00571PAPP0,L05113PAPP0,1
W00571PAPP0,L05463PAPP0,8
W00571PAPP0,L05526PAPP0,5
W00571PAPP0,L05528PNOD1,10
W00571PAPP0,L05528PNOD2,7
W00571PAPP0,L05820PAPP0,4
W00571PAPP0,L05827PAPP0,3
W00571PAPP0,L05918PAPP0,2
W00571PAPP0,L05984PSQL0,3
W00571PAPP0,L05997PORA0,2
W00571PAPP0,L05998PORA0,2
W00571PAPP0,L06023PAPPO,1
W00571PAPP0,L06036PAPP0,2
W00571PAPP0,L06100PAPP0,1
W00571PAPP0,L06284PAPP0,2
W00571PAPP0,L06326PAPP0,134
W00571PAPP0,L06387PAPP0,1
W00571PAPP0,L06392PAPP0,1
W00571PAPP0,L06514PAPP0,2
W00571PAPP0,L06689EAPP0,1
W00571PAPP0,L06780PAPP0,1
W00571PAPP0,NSCL047PMBX,341
W00571PAPP0,NSCL114DWSS,358
W00571PAPP0,NSCL115PNMG,56
W00571PAPP0,NSCL116PNMG,300
W00571PAPP0,NSCL138PAPP,148
W00571PAPP0,NSCL139PAPP,232
W00571PAPP0,NSCL169PFAP,277
W00571PAPP0,S02969PAPP0,3
W00571PAPP0,S03018PAPP0,1
W00571PAPP0,S03019PAPP0,2
W00571PAPP0,TEM-VDI-WIN11,268
W00571PAPP0,TEMPBCM-W2K16S,149
W00571PAPP0,TEMPLATE-TIT-2K,239
W00571PAPP0,VDI-CL-TI-0024,20
W00571PAPP0,VDI-CL-TI-0037,102
W00571PAPP0,VDI-CL-TI-0062,203
W00571PAPP0,W00707PFLE0,302
W00571PAPP0,W00708PAPP0,648
W00571PAPP0,W00875DFLE0,"15,705"
W00571PAPP0,W00928PFLE0,204
W00571PAPP0,W01345PAPP0,368
W00571PAPP0,W01605PAPP0,40
W00571PAPP0,W01608PNOD1,92
W00571PAPP0,W01725UAPP0,463
W00571PAPP0,W02129PAPP0,382
W00571PAPP0,W02130PAPP0,342
W00571PAPP0,W02283PAPP0,765
W00571PAPP0,W02369PAPP0,46
W00571PAPP0,W02475PAPP0,166
W00571PAPP0,W02476PAPP0,246
W00571PAPP0,W02509PAPP0,436
W00571PAPP0,W02510PAPP1,379
W00571PAPP0,W02561PAPP0,484
W00571PAPP0,W02762PAPP2,"16,098"
W00571PAPP0,W02763PAPP1,222
W00571PAPP0,W02763PAPP2,288
W00571PAPP0,W02764PNOD2,258
W00571PAPP0,W02764PNOD3,508
W00571PAPP0,W02765PSQL0,"4,241"
W00571PAPP0,W02820DAPP0,"12,636"
W00571PAPP0,W02821DSQL0,"9,144"
W00571PAPP0,W02823PAPP0,271
W00571PAPP0,W02824PAPP0,336
W00571PAPP0,W02825PNOD1,431
W00571PAPP0,W02825PNOD2,318
W00571PAPP0,W02856DAPP0,"5,858"
W00571PAPP0,W02857PAPP0,107
W00571PAPP0,W02894QNOD1,272
W00571PAPP0,W02894QNOD2,307
W00571PAPP0,W02897UAPP0,171
W00571PAPP0,W02952QNOD1,407
W00571PAPP0,W02952QNOD2,867
W00571PAPP0,W02953QAPP0,707
W00571PAPP0,W02954QAPP0,659
W00571PAPP0,W02957EAPP0,40
W00571PAPP0,W02962PAPP0,324
W00571PAPP0,W02975PAPP0,10
W00571PAPP0,W03022PNOD1,23
W00571PAPP0,W03022PNOD2,85
W00571PAPP0,W03060PAPP0,393
W00571PAPP0,W03066UAPP0,236
W00571PAPP0,W03070UAPP0,394
W00571PAPP0,W03072USQL0,346
W00571PAPP0,W03073PNOD1,293
W00571PAPP0,W03073PNOD2,254
W00571PAPP0,W03095PNOD1,39
W00571PAPP0,W03095PNOD2,384
W00571PAPP0,W03096PAPP0,442
W00571PAPP0,W03097PAPP0,279
W00571PAPP0,W03107QAPP0,664
W00571PAPP0,W03108QAPP0,517
W00571PAPP0,W03110QNOD1,363
W00571PAPP0,W03110QNOD2,321
W00571PAPP0,W03125DAPP0,"8,743"
W00571PAPP0,W03126DSQL0,"7,384"
W00571PAPP0,W03139PAPP0,245
W00571PAPP0,W03156PNOD1,253
W00571PAPP0,W03156PNOD2,342
W00571PAPP0,W03158PAPP0,251
W00571PAPP0,W03190DAPP0,"4,745"
W00571PAPP0,W03191DNOD1,"7,881"
W00571PAPP0,W03191DNOD2,"27,221"
W00571PAPP0,W03209DAPP0,325
W00571PAPP0,W03210DSQL0,576
W00571PAPP0,W03211DSQL0,"9,211"
W00571PAPP0,W03212DAPP0,"10,168"
W00571PAPP0,W03328PSQL0,547
W00571PAPP0,W03330DAPP0,"4,133"
W00571PAPP0,W03351DAPP0,"6,646"
W00571PAPP0,W03453PNOD1,341
W00571PAPP0,W03453PNOD2,264
W00571PAPP0,W03537QSQL0,665
W00571PAPP0,W03804QAPP0,379
W00571PAPP0,W03807PAPP0,365
W00571PAPP0,W03866QNOD1,"1,167"
W00571PAPP0,W03866QNOD2,"1,272"
W00571PAPP0,W03869PNOD1,542
W00571PAPP0,W03869PNOD2,60
W00571PAPP0,W03898PMON0,447
W00571PAPP0,W03900PMBX0,10
W00571PAPP0,W03926PAPP0,328
W00571PAPP0,W04013PSQL0,554
W00571PAPP0,W04042QAPP0,219
W00571PAPP0,W04048QAPP0,215
W00571PAPP0,W04049PAPP0,22
W00571PAPP0,W04050PAPP0,41
W00571PAPP0,W04051PAPP0,346
W00571PAPP0,W04150PSQL0,318
W00571PAPP0,W04158PAPP0,256
W00571PAPP0,W04165PAPP0,904
W00571PAPP0,W04181PNOD1,510
W00571PAPP0,W04181PNOD2,668
W00571PAPP0,W04197PAPP0,409
W00571PAPP0,W04228QSQL0,703
W00571PAPP0,W04238QNOD1,509
W00571PAPP0,W04238QNOD2,498
W00571PAPP0,W04251QNOD1,806
W00571PAPP0,W04251QNOD2,507
W00571PAPP0,W05004PNOD2,632
W00571PAPP0,W05010PAPP0,433
W00571PAPP0,W05011PAPP0,437
W00571PAPP0,W05012PAPP0,218
W00571PAPP0,W05013PAPP0,712
W00571PAPP0,W05015QAPP0,266
W00571PAPP0,W05049PBKP0,516
W00571PAPP0,W05053PNOD1,111
W00571PAPP0,W05053PNOD2,537
W00571PAPP0,W05054PNOD1,868
W00571PAPP0,W05054PNOD2,579
W00571PAPP0,W05093QAPP0,169
W00571PAPP0,W05094QNOD1,460
W00571PAPP0,W05094QNOD2,457
