groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.21,dynamic,sqlservr.exe,BR-ASESORIA,192.168.10.169,1433,14
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.21,dynamic,sqlservr.exe,BR-ASESORIA2,192.168.14.110,1433,12
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.21,dynamic,sqlservr.exe,BR-PREVIRED,192.168.10.216,1433,77
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.210,dynamic,sqlservr.exe,BR-WAURISBD1P,192.168.84.29,1433,1
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.212,dynamic,sqlservr.exe,BR-WAURISBD1P,192.168.84.29,1433,34
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.213,dynamic,sqlservr.exe,BR-PREVIRED,192.168.10.216,1433,114
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.213,dynamic,sqlservr.exe,BR-WPBDRPAP,192.168.84.105,1433,82
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.214,dynamic,sqlservr.exe,BR-WPCOMPROCP_3,192.168.82.172,1433,105
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.216,dynamic,sqlservr.exe,BR-MIS,192.168.10.101,1433,17
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.216,dynamic,sqlservr.exe,BR-WPCOMPROCP_3,192.168.82.172,1433,185
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.217,dynamic,sqlservr.exe,BR-WPBDRPAP,192.168.84.105,1433,44
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.218,dynamic,sqlservr.exe,BR-ASESORIA2,192.168.14.110,1433,14
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.219,dynamic,sqlservr.exe,BR-WAURISBD1P,192.168.84.29,1433,8
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.22,dynamic,sqlservr.exe,BR-MIS,192.168.10.101,1433,11
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.22,dynamic,sqlservr.exe,BR-MIS_PYB,192.168.84.19,1433,22
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.220,dynamic,sqlservr.exe,BR-MIS,192.168.10.101,1433,61
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.220,dynamic,sqlservr.exe,BR-MIS_PYB,192.168.84.19,1433,5
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.222,dynamic,sqlservr.exe,BR-ASESORIA,192.168.10.169,1433,1
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.222,dynamic,sqlservr.exe,BR-ASESORIA2,192.168.14.110,1433,44
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.222,dynamic,sqlservr.exe,BR-MIS_PYB,192.168.84.19,1433,4
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.224,dynamic,sqlservr.exe,BR-WAURISBD1P,192.168.84.29,1433,183
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.228,dynamic,sqlservr.exe,BR-ASESORIA2,192.168.14.110,1433,9
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.228,dynamic,sqlservr.exe,BR-MIS_PYB,192.168.84.19,1433,235
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.229,dynamic,sqlservr.exe,BR-WAURISBD1P,192.168.84.29,1433,2
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.229,dynamic,sqlservr.exe,BR-WPCOMPROCP_3,192.168.82.172,1433,48
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.23,dynamic,sqlservr.exe,BR-ASESORIA,192.168.10.169,1433,37
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.23,dynamic,sqlservr.exe,BR-ASESORIA2,192.168.14.110,1433,9
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.23,dynamic,sqlservr.exe,BR-MIS_PYB,192.168.84.19,1433,67
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.23,dynamic,sqlservr.exe,BR-PREVIRED,192.168.10.216,1433,57
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.230,dynamic,sqlservr.exe,BR-ASESORIA,192.168.10.169,1433,45
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.230,dynamic,sqlservr.exe,BR-ASESORIA2,192.168.14.110,1433,64
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.230,dynamic,sqlservr.exe,BR-PREVIRED,192.168.10.216,1433,129
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.234,dynamic,sqlservr.exe,BR-WAURISBD1P,192.168.84.29,1433,1
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.234,dynamic,sqlservr.exe,BR-WPCOMPROCP_3,192.168.82.172,1433,20
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.235,dynamic,sqlservr.exe,BR-WPCOMPROCP_3,192.168.82.172,1433,189
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.236,dynamic,sqlservr.exe,BR-WAURISBD1P,192.168.84.29,1433,29
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.237,dynamic,sqlservr.exe,BR-MIS,192.168.10.101,1433,104
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.238,dynamic,sqlservr.exe,BR-MIS_PYB,192.168.84.19,1433,52
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.239,dynamic,sqlservr.exe,BR-ASESORIA2,192.168.14.110,1433,30
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.239,dynamic,sqlservr.exe,BR-WPBDRPAP,192.168.84.105,1433,159
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.24,dynamic,sqlservr.exe,BR-WPCOMPROCP_3,192.168.82.172,1433,7
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.240,dynamic,sqlservr.exe,BR-MIS_PYB,192.168.84.19,1433,476
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.240,dynamic,sqlservr.exe,BR-PREVIRED,192.168.10.216,1433,15
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.241,dynamic,sqlservr.exe,BR-ASESORIA,192.168.10.169,1433,1
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.241,dynamic,sqlservr.exe,BR-ASESORIA2,192.168.14.110,1433,6
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.241,dynamic,sqlservr.exe,BR-PREVIRED,192.168.10.216,1433,83
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.242,dynamic,sqlservr.exe,BR-PREVIRED,192.168.10.216,1433,12
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.242,dynamic,sqlservr.exe,BR-WPCOMPROCP_3,192.168.82.172,1433,31
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.244,dynamic,sqlservr.exe,BR-WPCOMPROCP_3,192.168.82.172,1433,67
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.246,dynamic,sqlservr.exe,BR-ASESORIA,192.168.10.169,1433,11
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.246,dynamic,sqlservr.exe,BR-ASESORIA2,192.168.14.110,1433,146
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.246,dynamic,sqlservr.exe,BR-PREVIRED,192.168.10.216,1433,98
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.247,dynamic,sqlservr.exe,BR-PREVIRED,192.168.10.216,1433,29
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.247,dynamic,sqlservr.exe,BR-PROVOPER,192.168.10.177,1433,11
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.247,dynamic,sqlservr.exe,BR-WPCOMPROCP_3,192.168.82.172,1433,229
