from,to,weight
BR-ADMIEXDMGRP,34.205.5.9,5
BR-ADMIEXDMGRP,52.206.208.21,8
BR-ADMIEXDMGRP,64.39.104.113,5
BR-ADMIEXDMGRP,95.101.88.93,2
BR-ADMIEXDMGRP,192.168.10.6,40
BR-ADMIEXDMGRP,192.168.14.21,6
BR-ADMIEXDMGRP,20.1.1.152,3
BR-ADMIEXDMGRP,64.39.104.113,19
BR-ADMIEXIHS01,192.168.10.13,49203
BR-ADMIEXIHS01,23.222.252.70,36
BR-ADMIEXIHS01,64.39.104.113,29
BR-ADMIEXIHS01,23.60.80.75,3
BR-ADMIEXIHS01,23.222.252.70,1
BR-ADMIEXIHS01,192.168.10.6,1
BR-ADMIEXIHS01,192.168.10.6,3
BR-ADMIEXIHS01,34.205.5.8,1
BR-ADMIEXIHS01,192.168.83.11,7
BR-ADMIEXIHS01,192.168.83.11,1070
BR-ADMIEXIHS01,192.168.83.10,8
BR-ADMIEXIHS01,192.168.83.10,1041
BR-ADMIEXIHS01,95.101.88.93,45
BR-ADMIEXIHS01,192.168.83.11,34
BR-ADMIEXIHS01,34.205.5.9,2
BR-ADMIEXIHS01,34.205.5.9,1
BR-ADMIEXIHS01,2.20.52.70,12
BR-ADMIEXIHS01,34.205.5.31,1
BR-ADMIEXIHS01,34.205.5.31,1
BR-ADMIEXIHS01,192.168.83.10,42
BR-ADMIEXIHS01,64.39.104.113,1
BR-ADMIEXIHS01,192.168.81.249,2483
BR-ADMIEXIHS01,192.168.10.6,1
BR-ADMIEXIHS01,34.205.5.31,1
BR-ADMIEXIHS01,34.205.5.9,1
BR-ADMIEXIHS01,34.227.134.223,552
BR-ADMIEXIHS01,192.168.83.10,815
BR-ADMIEXIHS01,192.168.83.11,752
BR-ADMIEXIHS01,2.20.52.70,18
BR-ADMIEXIHS01,23.222.252.70,44
BR-ADMIEXIHS01,23.60.80.75,2
BR-ADMIEXIHS01,64.39.104.113,2
BR-ADMIEXIHS01,95.101.88.93,10
BR-ADMIEXIHS01,192.168.83.10,1
BR-ADMIEXIHS01,192.168.83.11,4
BR-ADMIEXIHS01,34.205.5.31,1
BR-ADMIEXIHS01,34.205.5.8,1
BR-ADMIEXIHS01,34.205.5.9,1
BR-ADMIEXIHS01,34.227.134.223,5
BR-ADMIEXIHS01,64.39.104.113,4
BR-ADMIEXIHS01,2.20.52.70,1
BR-ADMIEXIHS01,64.39.104.113,2
BR-ADMIEXIHS01,95.101.88.93,1
BR-ADMIEXIHS01,192.168.83.10,14
BR-ADMIEXIHS01,192.168.83.11,29
BR-ADMIEXIHS01,64.39.104.113,23
BR-ADMIEXIHS01,169.254.169.254,2
BR-ADMIEXIHS01,20.1.1.151,3
