from,to,weight
L02633PAPP0,W03022PNOD2,1
L02633PAPP0,W03022PNOD2,1
L02633PAPP0,W03022PNOD2,2
L02633PAPP0,W03060PAPP0,1
L02633PAPP0,W03066UAPP0,1
L02633PAPP0,W03072USQL0,1
L02633PAPP0,W03072USQL0,1
L02633PAPP0,W03073PNOD1,2
L02633PAPP0,W03073PNOD1,1
L02633PAPP0,W03073PNOD1,2
L02633PAPP0,W03073PNOD1,1
L02633PAPP0,W03073PNOD1,1
L02633PAPP0,W03095PNOD1,3
L02633PAPP0,W03095PNOD1,1
L02633PAPP0,W03095PNOD1,1
L02633PAPP0,W03095PNOD1,1
L02633PAPP0,W03095PNOD1,1
L02633PAPP0,W03095PNOD2,2
L02633PAPP0,W03095PNOD2,1
L02633PAPP0,W03097PAPP0,122
L02633PAPP0,W03097PAPP0,65
L02633PAPP0,W03108QAPP0,1
L02633PAPP0,W03108QAPP0,1
L02633PAPP0,W03110QNOD1,1
L02633PAPP0,W03125DAPP0,1
L02633PAPP0,W03156PNOD1,1
L02633PAPP0,W03156PNOD2,2
L02633PAPP0,W03156PNOD2,1
L02633PAPP0,W03156PNOD2,2
L02633PAPP0,W03156PNOD2,1
L02633PAPP0,W03158PAPP0,130
L02633PAPP0,W03158PAPP0,1
L02633PAPP0,W03158PAPP0,112
L02633PAPP0,W03191DNOD2,3
L02633PAPP0,W03191DNOD2,1
L02633PAPP0,W03191DNOD2,1
L02633PAPP0,W03191DNOD2,1
L02633PAPP0,W03328PSQL0,1
L02633PAPP0,W03328PSQL0,1
L02633PAPP0,W03330DAPP0,1
L02633PAPP0,W03330DAPP0,1
L02633PAPP0,W03330DAPP0,1
L02633PAPP0,W03330DAPP0,1
L02633PAPP0,W03330DAPP0,1
L02633PAPP0,W03453PNOD1,5
L02633PAPP0,W03453PNOD1,2
L02633PAPP0,W03453PNOD1,1
L02633PAPP0,W03453PNOD1,2
L02633PAPP0,W03453PNOD2,1
L02633PAPP0,W03453PNOD2,1
L02633PAPP0,W03453PNOD2,1
L02633PAPP0,W03453PNOD2,1
L02633PAPP0,W03453PNOD2,1
L02633PAPP0,W03453PNOD2,1
L02633PAPP0,W03866QNOD1,4
L02633PAPP0,W03866QNOD1,2
L02633PAPP0,W03866QNOD1,6
L02633PAPP0,W03866QNOD1,2
L02633PAPP0,W03869PNOD1,1
L02633PAPP0,W03869PNOD1,2
L02633PAPP0,W03869PNOD1,1
L02633PAPP0,W03869PNOD1,1
L02633PAPP0,W03869PNOD1,1
L02633PAPP0,W03869PNOD2,1
L02633PAPP0,W03869PNOD2,1
L02633PAPP0,W03900PMBX0,4
L02633PAPP0,W03900PMBX0,15
L02633PAPP0,W03900PMBX0,1
L02633PAPP0,W03900PMBX0,5
L02633PAPP0,W03900PMBX0,6
L02633PAPP0,W03900PMBX0,1
L02633PAPP0,W03900PMBX0,4
L02633PAPP0,W03900PMBX0,5
L02633PAPP0,W03900PMBX0,1
L02633PAPP0,W03900PMBX0,7
L02633PAPP0,W03900PMBX0,5
L02633PAPP0,W04013PSQL0,1
L02633PAPP0,W04158PAPP0,1
L02633PAPP0,W04181PNOD1,1
L02633PAPP0,W04181PNOD1,2
L02633PAPP0,W04181PNOD1,1
L02633PAPP0,W04181PNOD1,1
L02633PAPP0,W04181PNOD1,1
L02633PAPP0,W04181PNOD1,1
L02633PAPP0,W04181PNOD1,1
L02633PAPP0,W04181PNOD1,1
L02633PAPP0,W04181PNOD1,2
L02633PAPP0,W04181PNOD2,1
L02633PAPP0,W04181PNOD2,2
L02633PAPP0,W04181PNOD2,1
L02633PAPP0,W04181PNOD2,1
L02633PAPP0,W04181PNOD2,1
L02633PAPP0,W04197PAPP0,1
L02633PAPP0,W04227QAPP0,1
L02633PAPP0,W04228QSQL0,1
L02633PAPP0,W04238QNOD1,3
L02633PAPP0,W04238QNOD1,1
L02633PAPP0,W04238QNOD1,2
L02633PAPP0,W04238QNOD1,1
L02633PAPP0,W04251QNOD1,1
L02633PAPP0,W04251QNOD2,1
L02633PAPP0,W05004PNOD1,1
L02633PAPP0,W05004PNOD1,1
L02633PAPP0,W05004PNOD1,2
L02633PAPP0,W05004PNOD1,1
L02633PAPP0,W05010PAPP0,1
L02633PAPP0,W05012PAPP0,1
L02633PAPP0,W05013PAPP0,1
L02633PAPP0,W05049PBKP0,1
L02633PAPP0,W05053PNOD1,1
L02633PAPP0,W05053PNOD1,4
L02633PAPP0,W05053PNOD1,1
L02633PAPP0,W05053PNOD1,1
L02633PAPP0,W05053PNOD1,1
L02633PAPP0,W05053PNOD1,1
L02633PAPP0,W05053PNOD1,1
L02633PAPP0,W05053PNOD1,1
L02633PAPP0,W05053PNOD1,1
L02633PAPP0,W05053PNOD1,1
L02633PAPP0,W05053PNOD1,1
L02633PAPP0,W05053PNOD1,2
L02633PAPP0,W05053PNOD2,1
L02633PAPP0,W05054PNOD1,2
L02633PAPP0,W05054PNOD1,1
L02633PAPP0,W05054PNOD1,2
L02633PAPP0,W05054PNOD1,1
L02633PAPP0,W05054PNOD1,1
L02633PAPP0,W05054PNOD1,1
L02633PAPP0,W05054PNOD1,1
L02633PAPP0,W05054PNOD1,1
L02633PAPP0,W05054PNOD1,1
L02633PAPP0,W05054PNOD1,3
L02633PAPP0,W05054PNOD1,2
L02633PAPP0,W05054PNOD1,2
L02633PAPP0,W05054PNOD1,1
L02633PAPP0,W05054PNOD1,1
L02633PAPP0,W05093QAPP0,1
L02633PAPP0,W05094QNOD1,1
L02633PAPP0,W05094QNOD1,1
L02633PAPP0,W05094QNOD1,2
L02633PAPP0,W05094QNOD1,1
L02633PAPP0,W05094QNOD1,1
L02633PAPP0,W05094QNOD1,4
L02633PAPP0,W05094QNOD1,1
L02633PAPP0,W05094QNOD1,1
L02633PAPP0,W05094QNOD1,1
L02633PAPP0,W05094QNOD2,1
L02633PAPP0,W05095QNOD2,1
L02633PAPP0,W05095QNOD2,2
L02633PAPP0,W05095QNOD2,1
L02633PAPP0,W05095QNOD2,1
L02633PAPP0,W05095QNOD2,1
L02633PAPP0,W05095QNOD2,3
L02633PAPP0,W05095QNOD2,5
L02633PAPP0,W05095QNOD2,5
L02633PAPP0,W05095QNOD2,1
L02633PAPP0,W05095QNOD2,4
L02633PAPP0,W05095QNOD2,3
L02633PAPP0,W05095QNOD2,1
L02633PAPP0,W05095QNOD2,6
L02633PAPP0,W05095QNOD2,2
L02633PAPP0,W05095QNOD2,2
L02633PAPP0,W05095QNOD2,1
L02633PAPP0,W05115PNOD1,1
L02633PAPP0,W05115PNOD2,1
L02633PAPP0,W05115PNOD2,1
L02633PAPP0,W05115PNOD2,1
L02633PAPP0,W05115PNOD2,2
L02633PAPP0,W05115PNOD2,1
L02633PAPP0,W05245QNOD2,2
L02633PAPP0,W05245QNOD2,2
L02633PAPP0,W05245QNOD2,5
L02633PAPP0,W05245QNOD2,1
L02633PAPP0,W05245QNOD2,1
L02633PAPP0,W05245QNOD2,1
L02633PAPP0,W05245QNOD2,1
L02633PAPP0,W05245QNOD2,1
L02633PAPP0,W05245QNOD2,1
L02633PAPP0,W05245QNOD2,1
L02633PAPP0,W05245QNOD2,3
L02633PAPP0,W05245QNOD2,3
L02633PAPP0,W05245QNOD2,1
L02633PAPP0,W05245QNOD2,1
L02633PAPP0,W05245QNOD2,1
L02633PAPP0,W05245QNOD2,1
L02633PAPP0,W05247PNOD1,1
L02633PAPP0,W05247PNOD2,3
L02633PAPP0,W05247PNOD2,1
L02633PAPP0,W05251PAPP0,1
L02633PAPP0,W05263PAPP0,1
L02633PAPP0,W05359PCXW0,57
L02633PAPP0,W05359PCXW0,51
L02633PAPP0,W05360PCXW0,1
L02633PAPP0,W05416PPSC0,1
L02633PAPP0,W05581QSQL0,1
L02633PAPP0,W05639QNOD1,1
L02633PAPP0,W05640QAPP0,1
L02633PAPP0,W05641QAPP0,2
L02633PAPP0,W05686PNOD1,1
L02633PAPP0,W05686PNOD1,1
L02633PAPP0,W05686PNOD1,1
L02633PAPP0,W05686PNOD1,1
L02633PAPP0,W05686PNOD1,1
L02633PAPP0,W05686PNOD1,1
L02633PAPP0,W05686PNOD1,2
L02633PAPP0,W05686PNOD1,1
L02633PAPP0,W05686PNOD1,1
L02633PAPP0,W05686PNOD1,1
L02633PAPP0,W05686PNOD1,1
L02633PAPP0,W05686PNOD1,1
L02633PAPP0,W05686PNOD1,1
L02633PAPP0,W05686PNOD1,1
L02633PAPP0,W05782PAPP0,1
L02633PAPP0,W05815QAPP0,1
L02633PAPP0,W05816QSQL0,1
L02633PAPP0,W05934QAPP0,1
L02633PAPP0,W05986PAPP0,1
L02633PAPP0,W06064QAPP0,1
L02633PAPP0,W06065QAPP0,1
L02633PAPP0,W06178PFLE0,1
L02633PAPP0,W06297QNOD1,1
L02633PAPP0,W06297QNOD2,1
L02633PAPP0,W06451PNCE0,1
L02633PAPP0,W06545PNOD1,1
L02633PAPP0,W06545PNOD1,3
L02633PAPP0,W06545PNOD1,2
L02633PAPP0,W06545PNOD1,1
L02633PAPP0,W06545PNOD1,1
L02633PAPP0,W06545PNOD1,1
L02633PAPP0,W06545PNOD1,1
L02633PAPP0,W06545PNOD1,3
L02633PAPP0,W06545PNOD1,1
L02633PAPP0,W06545PNOD1,1
L02694PAPP0,L05528PNOD1,71
L02694PAPP0,L05528PNOD1,1
L02694PAPP0,L05528PNOD1,5
L02694PAPP0,L05528PNOD1,42
L02694PAPP0,L05528PNOD1,9
L02694PAPP0,L05528PNOD1,52
L02694PAPP0,L05528PNOD1,1
L02694PAPP0,L05528PNOD1,1
L02694PAPP0,L05528PNOD1,19
L02694PAPP0,L05528PNOD1,2
L02694PAPP0,L05528PNOD1,9
L02694PAPP0,L05528PNOD1,11
L02694PAPP0,L05528PNOD1,1
L02694PAPP0,L05528PNOD1,35
L02694PAPP0,L05528PNOD1,1
L02694PAPP0,L05528PNOD1,11
L02694PAPP0,L05528PNOD1,3
L02694PAPP0,L05528PNOD1,1
L02694PAPP0,L05528PNOD1,1
L02694PAPP0,L05528PNOD1,19
L02694PAPP0,L05528PNOD1,7
L02694PAPP0,L05528PNOD1,2
L02694PAPP0,L05528PNOD2,13
L02694PAPP0,L05528PNOD2,6
L02694PAPP0,L05528PNOD2,5
L02694PAPP0,L05528PNOD2,1
L02694PAPP0,L05528PNOD2,2
L02694PAPP0,L05528PNOD2,1
L02694PAPP0,L05528PNOD2,7
L02694PAPP0,L05528PNOD2,1
L02694PAPP0,L05528PNOD2,1
L02694PAPP0,L05528PNOD2,2
L02694PAPP0,L05528PNOD2,34
L02694PAPP0,L05528PNOD2,4
L02694PAPP0,L05528PNOD2,2
L02694PAPP0,L05528PNOD2,1
L02694PAPP0,L05528PNOD2,22
L02694PAPP0,L05528PNOD2,1
L02694PAPP0,L05997PORA0,2
L02694PAPP0,L05997PORA0,17
L02694PAPP0,L05997PORA0,1
L02694PAPP0,L05997PORA0,2
L02694PAPP0,L05997PORA0,3
L02694PAPP0,L05997PORA0,4
L02694PAPP0,L05997PORA0,5
L02694PAPP0,L05997PORA0,23
L02694PAPP0,L05997PORA0,1
L02694PAPP0,L05997PORA0,1
L02694PAPP0,L05997PORA0,2
L02694PAPP0,L05997PORA0,29
L02694PAPP0,L05997PORA0,1
L02694PAPP0,L05997PORA0,10
L02694PAPP0,L05997PORA0,2
L02694PAPP0,NSCL169PFAP,135
L02694PAPP0,NSCL169PFAP,125
L02694PAPP0,NSCL169PFAP,72
L02694PAPP0,NSCL169PFAP,73
L02694PAPP0,W00707PFLE0,207
L02694PAPP0,W00707PFLE0,2
L02694PAPP0,W00707PFLE0,135
L02694PAPP0,W02764PNOD2,1
L02694PAPP0,W02764PNOD2,2
L02694PAPP0,W02764PNOD2,4
L02694PAPP0,W02764PNOD2,1
L02694PAPP0,W02764PNOD2,5
L02694PAPP0,W03095PNOD1,207
L02694PAPP0,W03095PNOD1,133
L02694PAPP0,W03900PMBX0,424
L02694PAPP0,W03900PMBX0,1
L02694PAPP0,W03900PMBX0,246
L02694PAPP0,W03900PMBX0,10
L02694PAPP0,W03900PMBX0,1
L02694PAPP0,W03900PMBX0,1
L02694PAPP0,W03900PMBX0,2
L02694PAPP0,W03900PMBX0,3
L02694PAPP0,W03900PMBX0,36
L02694PAPP0,W05004PNOD1,71
L02694PAPP0,W05004PNOD1,1
L02694PAPP0,W05004PNOD1,5
L02694PAPP0,W05004PNOD1,1
L02694PAPP0,W05004PNOD1,1
