groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP03,10.203.21.154,8001,3
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP03,10.203.21.154,8001,4
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP03,10.203.21.155,8000,5
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP03,10.203.21.155,8000,6
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP03,10.203.21.156,8003,6
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP03,10.203.21.156,8003,7
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP03,10.203.21.157,8002,2
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP03,10.203.21.157,8002,4
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP04,10.203.21.158,8004,4
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP04,10.203.21.158,8004,8
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP04,10.203.21.159,8001,4
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP04,10.203.21.160,8000,3
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP04,10.203.21.160,8000,7
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP04,10.203.21.161,8003,10
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP04,10.203.21.161,8003,6
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP04,10.203.21.162,8002,6
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP05,10.203.21.163,8004,6
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP05,10.203.21.163,8004,7
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP05,10.203.21.164,8001,2
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP05,10.203.21.164,8001,6
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP05,10.203.21.165,8000,2
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP05,10.203.21.165,8000,4
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP05,10.203.21.166,8003,6
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP05,10.203.21.166,8003,8
Assessment,assessment-optimus,TCP,SRWLSPHCP04,10.203.21.120,dynamic,off,SRWLSIPSAP05,10.203.21.167,8002,5
