groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,20.1.1.213,34671,on,Unscanned Device,20.1.1.151,1500,19
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,20.1.1.213,39107,on,Unscanned Device,169.254.169.254,80,2
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,20.1.1.213,dynamic,keepalive,Unscanned Device,20.1.1.151,1500,4
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,20.1.1.213,dynamic,on,Unscanned Device,169.254.169.254,80,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGR,20.1.1.213,dynamic,timewait,Unscanned Device,20.1.1.151,1500,3
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,33756,off,Unscanned Device,44.225.240.147,443,5
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,33756,on,Unscanned Device,44.225.240.147,443,8
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,35660,timewait,Unscanned Device,192.168.10.6,10051,2
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,36084,keepalive,Unscanned Device,54.208.106.230,443,255
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,36084,on,Unscanned Device,54.208.106.230,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,39438,keepalive,Unscanned Device,52.6.19.160,443,210
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,39438,on,Unscanned Device,52.6.19.160,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,39514,keepalive,Unscanned Device,34.205.5.31,443,2
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,39514,on,Unscanned Device,34.205.5.31,443,2
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,40896,on,Unscanned Device,100.80.35.3,80,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,42506,timewait,Unscanned Device,64.39.104.113,443,30
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,43290,off,Unscanned Device,2.20.52.70,443,19
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,43532,on,Unscanned Device,64.39.104.113,443,5
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,43834,off,Unscanned Device,95.101.88.93,443,78
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,44120,on,Unscanned Device,192.168.82.55,514,557
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,45058,keepalive,Unscanned Device,34.205.5.9,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,45058,on,Unscanned Device,34.205.5.9,443,2
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,45728,off,Unscanned Device,64.39.104.113,443,5
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,46290,keepalive,Unscanned Device,192.168.10.6,10051,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,46602,off,Unscanned Device,23.222.252.70,443,78
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,47138,on,Unscanned Device,209.132.178.16,443,2
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,47140,off,Unscanned Device,209.132.178.16,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,47914,off,Unscanned Device,54.68.97.123,443,3
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,47914,on,Unscanned Device,54.68.97.123,443,9
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,49098,off,Unscanned Device,23.60.80.75,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,keepalive,Unscanned Device,34.205.5.8,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,keepalive,Unscanned Device,52.6.19.160,443,492
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,off,Unscanned Device,2.20.52.70,443,8
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,off,Unscanned Device,23.222.252.70,443,75
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,off,Unscanned Device,23.60.80.75,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,off,Unscanned Device,54.68.97.123,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,off,Unscanned Device,64.39.104.113,443,6
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,off,Unscanned Device,95.101.88.93,443,46
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,on,Unscanned Device,192.168.82.55,514,432
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,on,Unscanned Device,34.205.5.31,443,1
