from,to,weight,tag
10.56.122.70,10.56.119.63,74,L02701PAPP0
10.56.122.70,10.56.119.63,74,L02701PAPP0
10.193.249.11,10.56.119.49,296,L03021PAPP0
10.193.249.11,10.56.119.49,2,L03021PAPP0
10.193.249.11,10.56.119.49,1,L03021PAPP0
10.193.249.11,10.56.119.49,3,L03021PAPP0
10.193.249.11,10.56.119.49,122,L03021PAPP0
10.56.122.122,10.56.119.49,1,L03021PAPP0
10.56.122.68,10.56.119.49,12,L03021PAPP0
10.56.87.71,10.56.119.49,4,L03021PAPP0
10.56.87.71,10.56.119.49,5,L03021PAPP0
10.56.87.71,10.56.119.49,1,L03021PAPP0
10.56.87.71,10.56.119.49,8,L03021PAPP0
10.56.119.60,10.56.119.49,1,L03021PAPP0
10.56.122.175,10.56.119.49,3,L03021PAPP0
10.56.122.70,10.56.119.49,39,L03021PAPP0
10.56.122.70,10.56.119.49,130,L03021PAPP0
10.56.122.70,10.56.119.49,80,L03021PAPP0
10.56.122.70,10.56.119.49,68,L03021PAPP0
10.56.119.195,10.56.122.20,1,L03074PAPP0
10.56.119.195,10.56.122.20,2,L03074PAPP0
10.56.119.195,10.56.122.20,1,L03074PAPP0
10.56.119.59,10.56.122.20,5,L03074PAPP0
10.56.119.59,10.56.122.20,7,L03074PAPP0
10.56.119.60,10.56.122.20,4,L03074PAPP0
10.56.119.60,10.56.122.20,7,L03074PAPP0
10.56.119.40,10.56.122.20,32,L03074PAPP0
10.56.119.40,10.56.122.20,16,L03074PAPP0
10.56.119.40,10.56.122.20,400,L03074PAPP0
10.56.119.40,10.56.122.20,672,L03074PAPP0
10.56.119.41,10.56.122.20,777,L03074PAPP0
10.56.122.70,10.56.122.20,70,L03074PAPP0
10.56.122.70,10.56.122.20,80,L03074PAPP0
10.56.119.59,10.56.122.21,1,L03075PAPP0
10.56.119.59,10.56.122.21,1,L03075PAPP0
10.56.119.60,10.56.122.21,1,L03075PAPP0
10.56.119.40,10.56.122.21,210,L03075PAPP0
10.56.119.40,10.56.122.21,1800,L03075PAPP0
10.56.119.40,10.56.122.21,2000,L03075PAPP0
10.56.119.40,10.56.122.21,1400,L03075PAPP0
10.56.119.40,10.56.122.21,333,L03075PAPP0
10.56.119.40,10.56.122.21,1400,L03075PAPP0
10.56.119.40,10.56.122.21,1000,L03075PAPP0
10.56.119.40,10.56.122.21,105,L03075PAPP0
10.56.119.41,10.56.122.21,1442,L03075PAPP0
10.56.119.41,10.56.122.21,112,L03075PAPP0
10.56.122.70,10.56.122.21,77,L03075PAPP0
10.56.122.70,10.56.122.21,71,L03075PAPP0
10.56.122.122,10.56.122.10,1,L03087PAPP0
10.56.122.122,10.56.122.10,3,L03087PAPP0
10.56.122.122,10.56.122.10,1,L03087PAPP0
10.56.122.68,10.56.122.10,14,L03087PAPP0
10.56.122.122,10.56.122.10,1,L03087PAPP0
10.56.122.122,10.56.122.10,2,L03087PAPP0
10.56.122.122,10.56.122.10,1,L03087PAPP0
10.56.122.122,10.56.122.10,13,L03087PAPP0
10.56.119.59,10.56.122.10,3,L03087PAPP0
10.56.119.59,10.56.122.10,1,L03087PAPP0
10.56.119.60,10.56.122.10,2,L03087PAPP0
10.56.119.60,10.56.122.10,2,L03087PAPP0
10.56.119.176,10.56.122.10,134,L03087PAPP0
10.56.119.176,10.56.122.10,207,L03087PAPP0
10.56.122.70,10.56.122.10,173,L03087PAPP0
10.56.122.70,10.56.122.10,202,L03087PAPP0
10.56.122.70,10.56.122.10,64,L03087PAPP0
10.56.122.70,10.56.122.10,66,L03087PAPP0
10.56.122.70,10.56.122.10,1,L03087PAPP0
10.56.122.91,10.56.119.95,574,L03331PAPP01
10.56.122.91,10.56.119.95,24,L03331PAPP01
10.56.122.91,10.56.119.95,5,L03331PAPP01
10.56.122.91,10.56.119.95,534,L03331PAPP01
10.56.122.91,10.56.119.95,367,L03331PAPP01
10.56.122.91,10.56.119.95,336,L03331PAPP01
10.56.122.91,10.56.119.95,4,L03331PAPP01
10.56.122.91,10.56.119.95,14,L03331PAPP01
10.56.119.195,10.56.119.95,1,L03331PAPP01
10.56.119.195,10.56.119.95,1,L03331PAPP01
10.193.249.11,10.56.119.95,1,L03331PAPP01
10.193.249.11,10.56.119.95,277,L03331PAPP01
10.56.122.122,10.56.119.95,5,L03331PAPP01
10.56.122.122,10.56.119.95,2,L03331PAPP01
10.56.122.122,10.56.119.95,3,L03331PAPP01
10.56.122.68,10.56.119.95,25,L03331PAPP01
10.56.87.71,10.56.119.95,1,L03331PAPP01
10.56.87.71,10.56.119.95,1,L03331PAPP01
10.56.87.71,10.56.119.95,1,L03331PAPP01
10.56.122.122,10.56.119.95,4,L03331PAPP01
10.56.122.122,10.56.119.95,2,L03331PAPP01
10.56.119.59,10.56.119.95,1,L03331PAPP01
10.56.119.60,10.56.119.95,1,L03331PAPP01
10.56.119.60,10.56.119.95,1,L03331PAPP01
10.56.122.175,10.56.119.95,1,L03331PAPP01
10.56.122.175,10.56.119.95,3,L03331PAPP01
10.56.122.70,10.56.119.95,75,L03331PAPP01
10.56.122.70,10.56.119.95,173,L03331PAPP01
10.56.122.70,10.56.119.95,81,L03331PAPP01
10.56.122.70,10.56.119.95,68,L03331PAPP01
10.56.119.195,10.56.122.63,1,L03455PAPP0
10.56.119.195,10.56.122.63,1,L03455PAPP0
10.56.119.195,10.56.122.63,1,L03455PAPP0
10.193.249.11,10.56.122.63,326,L03455PAPP0
10.193.249.11,10.56.122.63,5,L03455PAPP0
10.193.249.11,10.56.122.63,304,L03455PAPP0
10.56.122.122,10.56.122.63,8,L03455PAPP0
10.56.122.122,10.56.122.63,2,L03455PAPP0
10.56.122.122,10.56.122.63,1,L03455PAPP0
10.56.122.68,10.56.122.63,8,L03455PAPP0
10.56.87.71,10.56.122.63,1,L03455PAPP0
10.56.87.71,10.56.122.63,1,L03455PAPP0
10.56.87.71,10.56.122.63,3,L03455PAPP0
10.56.87.71,10.56.122.63,1,L03455PAPP0
10.56.119.59,10.56.122.63,2,L03455PAPP0
10.56.119.59,10.56.122.63,2,L03455PAPP0
10.56.119.60,10.56.122.63,2,L03455PAPP0
10.56.119.60,10.56.122.63,5,L03455PAPP0
10.56.122.70,10.56.122.63,156,L03455PAPP0
10.56.122.70,10.56.122.63,155,L03455PAPP0
10.56.122.70,10.56.122.63,68,L03455PAPP0
10.56.122.70,10.56.122.63,74,L03455PAPP0
10.193.249.11,10.56.122.64,2,L03456PAPP0
10.193.249.11,10.56.122.64,33,L03456PAPP0
10.193.249.11,10.56.122.64,2,L03456PAPP0
10.193.249.11,10.56.122.64,3,L03456PAPP0
10.193.249.11,10.56.122.64,9,L03456PAPP0
10.56.119.59,10.56.122.64,1,L03456PAPP0
10.56.119.59,10.56.122.64,2,L03456PAPP0
10.56.119.60,10.56.122.64,2,L03456PAPP0
10.56.119.60,10.56.122.64,1,L03456PAPP0
10.56.122.70,10.56.122.64,61,L03456PAPP0
10.56.122.70,10.56.122.64,197,L03456PAPP0
10.56.122.70,10.56.122.64,81,L03456PAPP0
10.56.122.70,10.56.122.64,68,L03456PAPP0
10.156.132.192,10.56.119.249,1,L04011PAPP0
10.156.15.140,10.56.119.249,29,L04011PAPP0
10.156.24.190,10.56.119.249,4,L04011PAPP0
10.156.24.190,10.56.119.249,1,L04011PAPP0
10.156.24.208,10.56.119.249,1,L04011PAPP0
