from,to,weight,tag
10.56.16.189,10.56.119.70,1,W00707PFLE0
10.56.16.19,10.56.119.70,135,W00707PFLE0
10.56.16.190,10.56.119.70,98,W00707PFLE0
10.56.16.20,10.56.119.70,117,W00707PFLE0
10.56.16.22,10.56.119.70,38,W00707PFLE0
10.56.16.24,10.56.119.70,130,W00707PFLE0
10.56.16.25,10.56.119.70,120,W00707PFLE0
10.56.16.26,10.56.119.70,77,W00707PFLE0
10.56.16.29,10.56.119.70,35,W00707PFLE0
10.56.16.30,10.56.119.70,6,W00707PFLE0
10.56.16.31,10.56.119.70,4,W00707PFLE0
10.56.16.33,10.56.119.70,135,W00707PFLE0
10.56.16.35,10.56.119.70,71,W00707PFLE0
10.56.16.36,10.56.119.70,60,W00707PFLE0
10.56.16.39,10.56.119.70,59,W00707PFLE0
10.56.16.40,10.56.119.70,135,W00707PFLE0
10.56.16.43,10.56.119.70,135,W00707PFLE0
10.56.16.44,10.56.119.70,71,W00707PFLE0
10.56.16.45,10.56.119.70,33,W00707PFLE0
10.56.16.48,10.56.119.70,2,W00707PFLE0
10.56.16.53,10.56.119.70,60,W00707PFLE0
10.56.16.54,10.56.119.70,59,W00707PFLE0
10.56.16.55,10.56.119.70,135,W00707PFLE0
10.56.16.56,10.56.119.70,41,W00707PFLE0
10.56.16.59,10.56.119.70,135,W00707PFLE0
10.56.16.61,10.56.119.70,60,W00707PFLE0
10.56.16.62,10.56.119.70,133,W00707PFLE0
10.56.16.63,10.56.119.70,43,W00707PFLE0
10.56.16.64,10.56.119.70,36,W00707PFLE0
10.56.16.65,10.56.119.70,130,W00707PFLE0
10.56.16.70,10.56.119.70,130,W00707PFLE0
10.56.16.71,10.56.119.70,59,W00707PFLE0
10.56.16.72,10.56.119.70,1,W00707PFLE0
10.56.16.73,10.56.119.70,71,W00707PFLE0
10.56.16.74,10.56.119.70,8,W00707PFLE0
10.56.16.75,10.56.119.70,2,W00707PFLE0
10.56.16.76,10.56.119.70,135,W00707PFLE0
10.56.16.77,10.56.119.70,34,W00707PFLE0
10.56.16.79,10.56.119.70,125,W00707PFLE0
10.56.16.80,10.56.119.70,99,W00707PFLE0
10.56.16.81,10.56.119.70,133,W00707PFLE0
10.56.16.83,10.56.119.70,130,W00707PFLE0
10.56.16.84,10.56.119.70,41,W00707PFLE0
10.56.16.85,10.56.119.70,38,W00707PFLE0
10.56.16.86,10.56.119.70,47,W00707PFLE0
10.56.16.87,10.56.119.70,1,W00707PFLE0
10.56.22.12,10.56.119.70,59,W00707PFLE0
10.56.22.13,10.56.119.70,7,W00707PFLE0
10.56.22.14,10.56.119.70,5,W00707PFLE0
10.56.22.17,10.56.119.70,17,W00707PFLE0
10.56.22.18,10.56.119.70,7,W00707PFLE0
10.56.22.20,10.56.119.70,8,W00707PFLE0
10.56.22.22,10.56.119.70,3,W00707PFLE0
10.56.22.28,10.56.119.70,59,W00707PFLE0
10.56.22.29,10.56.119.70,1,W00707PFLE0
10.56.22.33,10.56.119.70,2,W00707PFLE0
10.56.22.34,10.56.119.70,1,W00707PFLE0
10.56.22.36,10.56.119.70,4,W00707PFLE0
10.56.22.37,10.56.119.70,3,W00707PFLE0
10.56.22.39,10.56.119.70,8,W00707PFLE0
10.56.22.41,10.56.119.70,1,W00707PFLE0
10.56.22.42,10.56.119.70,1,W00707PFLE0
10.56.22.43,10.56.119.70,1,W00707PFLE0
10.56.22.44,10.56.119.70,61,W00707PFLE0
10.56.22.45,10.56.119.70,1,W00707PFLE0
10.56.22.52,10.56.119.70,8,W00707PFLE0
10.56.22.55,10.56.119.70,2,W00707PFLE0
10.56.22.56,10.56.119.70,5,W00707PFLE0
10.56.22.57,10.56.119.70,4,W00707PFLE0
10.56.22.63,10.56.119.70,8,W00707PFLE0
10.56.22.68,10.56.119.70,1,W00707PFLE0
10.56.22.70,10.56.119.70,2,W00707PFLE0
10.56.24.100,10.56.119.70,121,W00707PFLE0
10.56.24.101,10.56.119.70,130,W00707PFLE0
10.56.24.102,10.56.119.70,26,W00707PFLE0
10.56.24.104,10.56.119.70,130,W00707PFLE0
10.56.24.105,10.56.119.70,130,W00707PFLE0
10.56.24.106,10.56.119.70,130,W00707PFLE0
10.56.24.107,10.56.119.70,20,W00707PFLE0
10.56.24.109,10.56.119.70,135,W00707PFLE0
10.56.24.11,10.56.119.70,59,W00707PFLE0
10.56.24.110,10.56.119.70,130,W00707PFLE0
10.56.24.111,10.56.119.70,27,W00707PFLE0
10.56.24.112,10.56.119.70,1,W00707PFLE0
10.56.24.113,10.56.119.70,130,W00707PFLE0
10.56.24.114,10.56.119.70,97,W00707PFLE0
10.56.24.115,10.56.119.70,72,W00707PFLE0
10.56.24.116,10.56.119.70,130,W00707PFLE0
10.56.24.117,10.56.119.70,109,W00707PFLE0
10.56.24.118,10.56.119.70,135,W00707PFLE0
10.56.24.119,10.56.119.70,56,W00707PFLE0
10.56.24.12,10.56.119.70,5,W00707PFLE0
10.56.24.120,10.56.119.70,109,W00707PFLE0
10.56.24.121,10.56.119.70,36,W00707PFLE0
10.56.24.122,10.56.119.70,130,W00707PFLE0
10.56.24.123,10.56.119.70,130,W00707PFLE0
10.56.24.124,10.56.119.70,135,W00707PFLE0
10.56.24.125,10.56.119.70,71,W00707PFLE0
10.56.24.126,10.56.119.70,112,W00707PFLE0
10.56.24.127,10.56.119.70,60,W00707PFLE0
10.56.24.128,10.56.119.70,36,W00707PFLE0
10.56.24.129,10.56.119.70,38,W00707PFLE0
10.56.24.13,10.56.119.70,135,W00707PFLE0
10.56.24.131,10.56.119.70,135,W00707PFLE0
10.56.24.132,10.56.119.70,114,W00707PFLE0
10.56.24.133,10.56.119.70,135,W00707PFLE0
10.56.24.134,10.56.119.70,130,W00707PFLE0
10.56.24.135,10.56.119.70,130,W00707PFLE0
10.56.24.136,10.56.119.70,130,W00707PFLE0
10.56.24.137,10.56.119.70,135,W00707PFLE0
10.56.24.139,10.56.119.70,127,W00707PFLE0
10.56.24.14,10.56.119.70,130,W00707PFLE0
10.56.24.140,10.56.119.70,2,W00707PFLE0
10.56.24.141,10.56.119.70,130,W00707PFLE0
10.56.24.142,10.56.119.70,135,W00707PFLE0
10.56.24.143,10.56.119.70,130,W00707PFLE0
10.56.24.144,10.56.119.70,130,W00707PFLE0
10.56.24.145,10.56.119.70,130,W00707PFLE0
10.56.24.147,10.56.119.70,130,W00707PFLE0
10.56.24.148,10.56.119.70,59,W00707PFLE0
10.56.24.149,10.56.119.70,111,W00707PFLE0
10.56.24.15,10.56.119.70,96,W00707PFLE0
10.56.24.150,10.56.119.70,135,W00707PFLE0
10.56.24.151,10.56.119.70,59,W00707PFLE0
10.56.24.153,10.56.119.70,135,W00707PFLE0
10.56.24.154,10.56.119.70,120,W00707PFLE0
10.56.24.155,10.56.119.70,95,W00707PFLE0
10.56.24.156,10.56.119.70,78,W00707PFLE0
10.56.24.157,10.56.119.70,130,W00707PFLE0
10.56.24.158,10.56.119.70,134,W00707PFLE0
10.56.24.161,10.56.119.70,109,W00707PFLE0
10.56.24.162,10.56.119.70,135,W00707PFLE0
10.56.24.163,10.56.119.70,135,W00707PFLE0
10.56.24.164,10.56.119.70,37,W00707PFLE0
10.56.24.165,10.56.119.70,52,W00707PFLE0
10.56.24.166,10.56.119.70,35,W00707PFLE0
10.56.24.167,10.56.119.70,47,W00707PFLE0
10.56.24.168,10.56.119.70,130,W00707PFLE0
10.56.24.169,10.56.119.70,59,W00707PFLE0
10.56.24.17,10.56.119.70,135,W00707PFLE0
10.56.24.171,10.56.119.70,110,W00707PFLE0
10.56.24.172,10.56.119.70,61,W00707PFLE0
10.56.24.173,10.56.119.70,74,W00707PFLE0
10.56.24.174,10.56.119.70,100,W00707PFLE0
10.56.24.175,10.56.119.70,130,W00707PFLE0
10.56.24.176,10.56.119.70,59,W00707PFLE0
10.56.24.177,10.56.119.70,130,W00707PFLE0
10.56.24.18,10.56.119.70,135,W00707PFLE0
10.56.24.181,10.56.119.70,130,W00707PFLE0
10.56.24.182,10.56.119.70,135,W00707PFLE0
10.56.24.184,10.56.119.70,38,W00707PFLE0
10.56.24.19,10.56.119.70,130,W00707PFLE0
10.56.24.20,10.56.119.70,114,W00707PFLE0
10.56.24.21,10.56.119.70,59,W00707PFLE0
10.56.24.22,10.56.119.70,31,W00707PFLE0
10.56.24.23,10.56.119.70,130,W00707PFLE0
10.56.24.230,10.56.119.70,130,W00707PFLE0
10.56.24.24,10.56.119.70,107,W00707PFLE0
10.56.24.25,10.56.119.70,130,W00707PFLE0
10.56.24.26,10.56.119.70,59,W00707PFLE0
10.56.24.27,10.56.119.70,130,W00707PFLE0
10.56.24.28,10.56.119.70,130,W00707PFLE0
10.56.24.29,10.56.119.70,130,W00707PFLE0
10.56.24.30,10.56.119.70,130,W00707PFLE0
10.56.24.31,10.56.119.70,135,W00707PFLE0
10.56.24.32,10.56.119.70,130,W00707PFLE0
10.56.24.33,10.56.119.70,130,W00707PFLE0
10.56.24.34,10.56.119.70,135,W00707PFLE0
10.56.24.35,10.56.119.70,130,W00707PFLE0
10.56.24.36,10.56.119.70,81,W00707PFLE0
10.56.24.38,10.56.119.70,130,W00707PFLE0
10.56.24.39,10.56.119.70,33,W00707PFLE0
10.56.24.40,10.56.119.70,130,W00707PFLE0
10.56.24.41,10.56.119.70,135,W00707PFLE0
10.56.24.43,10.56.119.70,27,W00707PFLE0
10.56.24.44,10.56.119.70,135,W00707PFLE0
10.56.24.46,10.56.119.70,28,W00707PFLE0
10.56.24.48,10.56.119.70,130,W00707PFLE0
10.56.24.49,10.56.119.70,130,W00707PFLE0
10.56.24.50,10.56.119.70,98,W00707PFLE0
10.56.24.52,10.56.119.70,130,W00707PFLE0
10.56.24.53,10.56.119.70,72,W00707PFLE0
10.56.24.55,10.56.119.70,59,W00707PFLE0
10.56.24.56,10.56.119.70,130,W00707PFLE0
10.56.24.57,10.56.119.70,68,W00707PFLE0
10.56.24.58,10.56.119.70,10,W00707PFLE0
10.56.24.59,10.56.119.70,130,W00707PFLE0
10.56.24.60,10.56.119.70,102,W00707PFLE0
10.56.24.62,10.56.119.70,130,W00707PFLE0
10.56.24.63,10.56.119.70,56,W00707PFLE0
10.56.24.64,10.56.119.70,58,W00707PFLE0
10.56.24.65,10.56.119.70,130,W00707PFLE0
10.56.24.66,10.56.119.70,130,W00707PFLE0
10.56.24.67,10.56.119.70,34,W00707PFLE0
10.56.24.68,10.56.119.70,71,W00707PFLE0
10.56.24.69,10.56.119.70,130,W00707PFLE0
10.56.24.70,10.56.119.70,135,W00707PFLE0
10.56.24.71,10.56.119.70,71,W00707PFLE0
10.56.24.72,10.56.119.70,135,W00707PFLE0
10.56.24.73,10.56.119.70,70,W00707PFLE0
10.56.24.74,10.56.119.70,71,W00707PFLE0
10.56.24.75,10.56.119.70,71,W00707PFLE0
10.56.24.76,10.56.119.70,130,W00707PFLE0
10.56.24.77,10.56.119.70,71,W00707PFLE0
10.56.24.78,10.56.119.70,135,W00707PFLE0
10.56.24.79,10.56.119.70,36,W00707PFLE0
10.56.24.81,10.56.119.70,130,W00707PFLE0
10.56.24.83,10.56.119.70,130,W00707PFLE0
10.56.24.85,10.56.119.70,135,W00707PFLE0
10.56.24.86,10.56.119.70,130,W00707PFLE0
10.56.24.87,10.56.119.70,26,W00707PFLE0
10.56.24.88,10.56.119.70,130,W00707PFLE0
10.56.24.89,10.56.119.70,41,W00707PFLE0
10.56.24.90,10.56.119.70,130,W00707PFLE0
10.56.24.91,10.56.119.70,83,W00707PFLE0
10.56.24.92,10.56.119.70,104,W00707PFLE0
10.56.24.93,10.56.119.70,130,W00707PFLE0
10.56.24.94,10.56.119.70,130,W00707PFLE0
10.56.24.95,10.56.119.70,135,W00707PFLE0
10.56.24.96,10.56.119.70,59,W00707PFLE0
10.56.24.97,10.56.119.70,106,W00707PFLE0
10.56.24.98,10.56.119.70,43,W00707PFLE0
10.56.24.99,10.56.119.70,135,W00707PFLE0
10.56.28.11,10.56.119.70,75,W00707PFLE0
10.56.28.12,10.56.119.70,2,W00707PFLE0
10.56.28.15,10.56.119.70,3,W00707PFLE0
10.56.28.17,10.56.119.70,71,W00707PFLE0
10.56.28.18,10.56.119.70,130,W00707PFLE0
10.56.28.19,10.56.119.70,1,W00707PFLE0
10.56.28.20,10.56.119.70,44,W00707PFLE0
10.56.28.21,10.56.119.70,1,W00707PFLE0
10.56.28.22,10.56.119.70,13,W00707PFLE0
10.56.28.23,10.56.119.70,59,W00707PFLE0
10.56.28.24,10.56.119.70,34,W00707PFLE0
10.56.28.25,10.56.119.70,1,W00707PFLE0
10.56.28.26,10.56.119.70,1,W00707PFLE0
10.56.28.28,10.56.119.70,1,W00707PFLE0
10.56.28.30,10.56.119.70,1,W00707PFLE0
10.56.28.31,10.56.119.70,7,W00707PFLE0
10.56.28.32,10.56.119.70,59,W00707PFLE0
10.56.28.36,10.56.119.70,1,W00707PFLE0
10.56.28.43,10.56.119.70,6,W00707PFLE0
10.56.28.44,10.56.119.70,1,W00707PFLE0
10.56.28.46,10.56.119.70,19,W00707PFLE0
10.56.28.47,10.56.119.70,5,W00707PFLE0
10.56.28.48,10.56.119.70,8,W00707PFLE0
10.56.28.49,10.56.119.70,1,W00707PFLE0
10.56.28.51,10.56.119.70,57,W00707PFLE0
10.56.28.52,10.56.119.70,1,W00707PFLE0
10.56.28.53,10.56.119.70,1,W00707PFLE0
10.56.28.54,10.56.119.70,6,W00707PFLE0
10.56.28.57,10.56.119.70,4,W00707PFLE0
10.56.28.59,10.56.119.70,2,W00707PFLE0
10.56.28.61,10.56.119.70,1,W00707PFLE0
10.56.28.63,10.56.119.70,1,W00707PFLE0
10.56.28.66,10.56.119.70,1,W00707PFLE0
10.56.28.73,10.56.119.70,29,W00707PFLE0
10.56.28.80,10.56.119.70,21,W00707PFLE0
10.56.28.83,10.56.119.70,1,W00707PFLE0
10.56.28.86,10.56.119.70,7,W00707PFLE0
10.56.32.12,10.56.119.70,17,W00707PFLE0
10.56.32.13,10.56.119.70,135,W00707PFLE0
10.56.32.14,10.56.119.70,102,W00707PFLE0
10.56.32.17,10.56.119.70,3,W00707PFLE0
10.56.32.18,10.56.119.70,135,W00707PFLE0
10.56.32.20,10.56.119.70,102,W00707PFLE0
10.56.32.21,10.56.119.70,1,W00707PFLE0
10.56.32.22,10.56.119.70,12,W00707PFLE0
10.56.32.24,10.56.119.70,135,W00707PFLE0
10.56.32.27,10.56.119.70,59,W00707PFLE0
10.56.32.28,10.56.119.70,2,W00707PFLE0
10.56.32.29,10.56.119.70,59,W00707PFLE0
10.56.32.32,10.56.119.70,3,W00707PFLE0
10.56.35.41,10.56.119.70,88,W00707PFLE0
10.56.36.11,10.56.119.70,8,W00707PFLE0
10.56.36.12,10.56.119.70,2,W00707PFLE0
10.56.36.13,10.56.119.70,5,W00707PFLE0
10.56.36.14,10.56.119.70,2,W00707PFLE0
10.56.36.15,10.56.119.70,5,W00707PFLE0
10.56.36.16,10.56.119.70,7,W00707PFLE0
10.56.36.18,10.56.119.70,8,W00707PFLE0
10.56.36.19,10.56.119.70,1,W00707PFLE0
10.56.36.20,10.56.119.70,10,W00707PFLE0
10.56.36.21,10.56.119.70,6,W00707PFLE0
10.56.36.25,10.56.119.70,6,W00707PFLE0
10.56.36.27,10.56.119.70,7,W00707PFLE0
10.56.36.28,10.56.119.70,11,W00707PFLE0
10.56.36.34,10.56.119.70,7,W00707PFLE0
10.56.36.44,10.56.119.70,15,W00707PFLE0
10.56.36.51,10.56.119.70,3,W00707PFLE0
10.56.36.52,10.56.119.70,1,W00707PFLE0
10.56.36.55,10.56.119.70,18,W00707PFLE0
10.56.36.56,10.56.119.70,5,W00707PFLE0
10.56.4.108,10.56.119.70,7,W00707PFLE0
10.56.4.109,10.56.119.70,2,W00707PFLE0
10.56.4.11,10.56.119.70,2,W00707PFLE0
10.56.4.113,10.56.119.70,2,W00707PFLE0
10.56.4.114,10.56.119.70,108,W00707PFLE0
10.56.4.120,10.56.119.70,6,W00707PFLE0
10.56.4.124,10.56.119.70,31,W00707PFLE0
10.56.4.127,10.56.119.70,1,W00707PFLE0
10.56.4.14,10.56.119.70,16,W00707PFLE0
10.56.4.15,10.56.119.70,17,W00707PFLE0
10.56.4.17,10.56.119.70,3,W00707PFLE0
10.56.4.18,10.56.119.70,2,W00707PFLE0
10.56.4.20,10.56.119.70,1,W00707PFLE0
10.56.4.21,10.56.119.70,1,W00707PFLE0
10.56.4.22,10.56.119.70,1,W00707PFLE0
10.56.4.26,10.56.119.70,38,W00707PFLE0
10.56.4.27,10.56.119.70,1,W00707PFLE0
10.56.4.30,10.56.119.70,1,W00707PFLE0
10.56.4.31,10.56.119.70,18,W00707PFLE0
10.56.4.32,10.56.119.70,2,W00707PFLE0
10.56.4.38,10.56.119.70,5,W00707PFLE0
10.56.4.39,10.56.119.70,1,W00707PFLE0
10.56.4.44,10.56.119.70,1,W00707PFLE0
10.56.4.45,10.56.119.70,1,W00707PFLE0
10.56.4.46,10.56.119.70,11,W00707PFLE0
10.56.4.47,10.56.119.70,2,W00707PFLE0
10.56.4.48,10.56.119.70,3,W00707PFLE0
10.56.4.49,10.56.119.70,1,W00707PFLE0
10.56.4.50,10.56.119.70,1,W00707PFLE0
10.56.4.52,10.56.119.70,1,W00707PFLE0
10.56.4.53,10.56.119.70,1,W00707PFLE0
10.56.4.54,10.56.119.70,1,W00707PFLE0
10.56.4.55,10.56.119.70,5,W00707PFLE0
10.56.4.57,10.56.119.70,59,W00707PFLE0
10.56.4.58,10.56.119.70,2,W00707PFLE0
10.56.4.60,10.56.119.70,19,W00707PFLE0
10.56.4.61,10.56.119.70,1,W00707PFLE0
10.56.4.63,10.56.119.70,21,W00707PFLE0
10.56.4.64,10.56.119.70,1,W00707PFLE0
10.56.4.65,10.56.119.70,1,W00707PFLE0
10.56.4.66,10.56.119.70,1,W00707PFLE0
10.56.4.67,10.56.119.70,51,W00707PFLE0
10.56.4.68,10.56.119.70,14,W00707PFLE0
10.56.4.74,10.56.119.70,40,W00707PFLE0
10.56.4.76,10.56.119.70,23,W00707PFLE0
10.56.4.77,10.56.119.70,3,W00707PFLE0
10.56.4.78,10.56.119.70,106,W00707PFLE0
10.56.4.85,10.56.119.70,1,W00707PFLE0
10.56.4.90,10.56.119.70,1,W00707PFLE0
10.56.4.94,10.56.119.70,1,W00707PFLE0
10.56.4.95,10.56.119.70,1,W00707PFLE0
10.56.4.99,10.56.119.70,69,W00707PFLE0
10.56.8.11,10.56.119.70,67,W00707PFLE0
10.56.8.123,10.56.119.70,29,W00707PFLE0
10.56.8.125,10.56.119.70,34,W00707PFLE0
10.56.8.127,10.56.119.70,42,W00707PFLE0
10.56.8.129,10.56.119.70,36,W00707PFLE0
10.56.8.13,10.56.119.70,135,W00707PFLE0
10.56.8.130,10.56.119.70,29,W00707PFLE0
10.56.8.132,10.56.119.70,14,W00707PFLE0
10.56.8.133,10.56.119.70,37,W00707PFLE0
10.56.8.134,10.56.119.70,36,W00707PFLE0
10.56.8.135,10.56.119.70,111,W00707PFLE0
10.56.8.136,10.56.119.70,59,W00707PFLE0
10.56.8.139,10.56.119.70,7,W00707PFLE0
10.56.8.14,10.56.119.70,41,W00707PFLE0
10.56.8.141,10.56.119.70,2,W00707PFLE0
10.56.8.144,10.56.119.70,64,W00707PFLE0
10.56.8.145,10.56.119.70,4,W00707PFLE0
10.56.8.146,10.56.119.70,59,W00707PFLE0
10.56.8.147,10.56.119.70,38,W00707PFLE0
10.56.8.149,10.56.119.70,36,W00707PFLE0
10.56.8.151,10.56.119.70,57,W00707PFLE0
10.56.8.154,10.56.119.70,59,W00707PFLE0
10.56.8.155,10.56.119.70,4,W00707PFLE0
10.56.8.157,10.56.119.70,130,W00707PFLE0
10.56.8.16,10.56.119.70,41,W00707PFLE0
10.56.8.160,10.56.119.70,47,W00707PFLE0
10.56.8.162,10.56.119.70,132,W00707PFLE0
10.56.8.164,10.56.119.70,51,W00707PFLE0
10.56.8.167,10.56.119.70,33,W00707PFLE0
10.56.8.168,10.56.119.70,41,W00707PFLE0
10.56.8.169,10.56.119.70,59,W00707PFLE0
10.56.8.17,10.56.119.70,40,W00707PFLE0
10.56.8.170,10.56.119.70,63,W00707PFLE0
10.56.8.171,10.56.119.70,78,W00707PFLE0
10.56.8.174,10.56.119.70,54,W00707PFLE0
10.56.8.177,10.56.119.70,130,W00707PFLE0
10.56.8.178,10.56.119.70,40,W00707PFLE0
10.56.8.179,10.56.119.70,135,W00707PFLE0
10.56.8.18,10.56.119.70,135,W00707PFLE0
10.56.8.180,10.56.119.70,130,W00707PFLE0
10.56.8.181,10.56.119.70,59,W00707PFLE0
10.56.8.184,10.56.119.70,135,W00707PFLE0
10.56.8.186,10.56.119.70,22,W00707PFLE0
10.56.8.186,10.56.119.70,39,W00707PFLE0
10.56.8.187,10.56.119.70,11,W00707PFLE0
10.56.8.188,10.56.119.70,3,W00707PFLE0
10.56.8.190,10.56.119.70,23,W00707PFLE0
10.56.8.191,10.56.119.70,34,W00707PFLE0
10.56.8.193,10.56.119.70,50,W00707PFLE0
10.56.8.196,10.56.119.70,2,W00707PFLE0
10.56.8.197,10.56.119.70,59,W00707PFLE0
10.56.8.198,10.56.119.70,1,W00707PFLE0
10.56.8.199,10.56.119.70,36,W00707PFLE0
10.56.8.200,10.56.119.70,59,W00707PFLE0
10.56.8.203,10.56.119.70,1,W00707PFLE0
10.56.8.204,10.56.119.70,112,W00707PFLE0
10.56.8.205,10.56.119.70,55,W00707PFLE0
10.56.8.207,10.56.119.70,21,W00707PFLE0
10.56.8.23,10.56.119.70,118,W00707PFLE0
10.56.8.25,10.56.119.70,36,W00707PFLE0
10.56.8.26,10.56.119.70,22,W00707PFLE0
10.56.8.28,10.56.119.70,3,W00707PFLE0
10.56.8.29,10.56.119.70,34,W00707PFLE0
10.56.8.30,10.56.119.70,59,W00707PFLE0
10.56.8.31,10.56.119.70,41,W00707PFLE0
10.56.8.32,10.56.119.70,59,W00707PFLE0
10.56.8.34,10.56.119.70,1,W00707PFLE0
10.56.8.35,10.56.119.70,10,W00707PFLE0
10.56.8.36,10.56.119.70,21,W00707PFLE0
10.56.8.37,10.56.119.70,37,W00707PFLE0
10.56.8.38,10.56.119.70,135,W00707PFLE0
10.56.8.39,10.56.119.70,11,W00707PFLE0
10.56.8.44,10.56.119.70,38,W00707PFLE0
10.56.8.45,10.56.119.70,35,W00707PFLE0
10.56.8.46,10.56.119.70,63,W00707PFLE0
10.56.8.48,10.56.119.70,2,W00707PFLE0
10.56.8.51,10.56.119.70,23,W00707PFLE0
10.56.8.52,10.56.119.70,59,W00707PFLE0
10.56.8.54,10.56.119.70,37,W00707PFLE0
10.56.8.56,10.56.119.70,57,W00707PFLE0
10.56.8.57,10.56.119.70,49,W00707PFLE0
10.56.8.57,10.56.119.70,38,W00707PFLE0
10.56.8.58,10.56.119.70,40,W00707PFLE0
10.56.8.59,10.56.119.70,40,W00707PFLE0
10.56.8.61,10.56.119.70,42,W00707PFLE0
10.56.8.67,10.56.119.70,1,W00707PFLE0
10.56.8.68,10.56.119.70,29,W00707PFLE0
10.56.8.69,10.56.119.70,34,W00707PFLE0
10.56.8.70,10.56.119.70,59,W00707PFLE0
10.56.8.71,10.56.119.70,42,W00707PFLE0
10.56.8.73,10.56.119.70,114,W00707PFLE0
10.56.8.77,10.56.119.70,36,W00707PFLE0
10.56.8.80,10.56.119.70,40,W00707PFLE0
10.56.8.81,10.56.119.70,59,W00707PFLE0
10.56.8.82,10.56.119.70,102,W00707PFLE0
10.56.8.83,10.56.119.70,135,W00707PFLE0
10.56.8.87,10.56.119.70,3,W00707PFLE0
10.56.8.89,10.56.119.70,59,W00707PFLE0
10.56.8.90,10.56.119.70,31,W00707PFLE0
10.56.8.91,10.56.119.70,59,W00707PFLE0
10.56.8.92,10.56.119.70,135,W00707PFLE0
10.56.8.93,10.56.119.70,54,W00707PFLE0
10.56.8.95,10.56.119.70,2,W00707PFLE0
10.56.8.96,10.56.119.70,33,W00707PFLE0
10.56.8.97,10.56.119.70,135,W00707PFLE0
10.56.8.99,10.56.119.70,1,W00707PFLE0
10.58.130.29,10.56.119.70,24,W00707PFLE0
10.58.131.133,10.56.119.70,9,W00707PFLE0
10.58.3.158,10.56.119.70,2,W00707PFLE0
10.58.3.38,10.56.119.70,135,W00707PFLE0
10.58.3.9,10.56.119.70,38,W00707PFLE0
10.58.96.154,10.56.119.70,1,W00707PFLE0
10.58.96.155,10.56.119.70,4,W00707PFLE0
10.58.96.155,10.56.119.70,1,W00707PFLE0
10.58.96.31,10.56.119.70,4,W00707PFLE0
10.58.96.35,10.56.119.70,2,W00707PFLE0
10.59.96.6,10.56.119.70,2,W00707PFLE0
10.59.96.6,10.56.119.70,1,W00707PFLE0
10.60.1.11,10.56.119.70,2,W00707PFLE0
10.60.1.11,10.56.119.70,2,W00707PFLE0
10.60.1.15,10.56.119.70,1,W00707PFLE0
10.60.1.15,10.56.119.70,1,W00707PFLE0
10.73.0.33,10.56.119.70,135,W00707PFLE0
10.73.0.52,10.56.119.70,135,W00707PFLE0
10.73.0.68,10.56.119.70,135,W00707PFLE0
10.73.0.83,10.56.119.70,2,W00707PFLE0
10.73.121.137,10.56.119.70,11,W00707PFLE0
10.73.7.15,10.56.119.70,46,W00707PFLE0
10.73.7.20,10.56.119.70,32,W00707PFLE0
10.73.7.21,10.56.119.70,37,W00707PFLE0
10.73.96.10,10.56.119.70,14,W00707PFLE0
10.73.96.11,10.56.119.70,4,W00707PFLE0
10.73.96.14,10.56.119.70,135,W00707PFLE0
10.82.1.1,10.56.119.70,4,W00707PFLE0
10.82.1.1,10.56.119.70,1,W00707PFLE0
10.56.120.125,10.56.119.70,147,W00707PFLE0
10.56.120.125,10.56.119.70,76,W00707PFLE0
10.56.119.59,10.56.119.70,17,W00707PFLE0
10.56.119.59,10.56.119.70,20,W00707PFLE0
10.56.119.59,10.56.119.70,31,W00707PFLE0
10.56.119.59,10.56.119.70,40,W00707PFLE0
10.56.119.59,10.56.119.70,136,W00707PFLE0
10.56.119.59,10.56.119.70,58,W00707PFLE0
10.56.119.60,10.56.119.70,20,W00707PFLE0
10.56.119.60,10.56.119.70,9,W00707PFLE0
10.56.119.60,10.56.119.70,23,W00707PFLE0
10.56.119.60,10.56.119.70,47,W00707PFLE0
10.56.119.60,10.56.119.70,130,W00707PFLE0
10.56.119.60,10.56.119.70,31,W00707PFLE0
10.56.119.102,10.56.119.70,1,W00707PFLE0
10.56.119.102,10.56.119.70,1,W00707PFLE0
10.56.119.102,10.56.119.70,1,W00707PFLE0
10.56.119.102,10.56.119.70,326,W00707PFLE0
10.56.119.186,10.56.119.70,135,W00707PFLE0
10.56.119.186,10.56.119.70,188,W00707PFLE0
10.156.24.90,10.56.119.70,2,W00707PFLE0
10.56.119.237,10.56.119.70,1,W00707PFLE0
10.56.119.241,10.56.119.70,1,W00707PFLE0
10.56.119.241,10.56.119.70,2,W00707PFLE0
10.56.119.242,10.56.119.70,1,W00707PFLE0
10.56.119.242,10.56.119.70,2,W00707PFLE0
10.56.119.176,10.56.119.70,5,W00707PFLE0
10.56.119.176,10.56.119.70,6,W00707PFLE0
10.56.119.74,10.56.119.70,1,W00707PFLE0
10.56.119.74,10.56.119.70,2,W00707PFLE0
10.56.119.51,10.56.119.70,2,W00707PFLE0
10.56.119.51,10.56.119.70,5,W00707PFLE0
10.56.119.51,10.56.119.70,3,W00707PFLE0
10.56.119.51,10.56.119.70,5,W00707PFLE0
10.56.119.51,10.56.119.70,135,W00707PFLE0
10.56.119.51,10.56.119.70,160,W00707PFLE0
10.56.119.51,10.56.119.70,5,W00707PFLE0
10.56.119.51,10.56.119.70,1,W00707PFLE0
