groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,43426,off,L04160PAPP0,10.56.122.100,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,L04160PAPP0,10.56.122.100,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,L05374PORA0,10.56.122.231,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,37424,off,L05528PNOD1,10.56.122.244,5666,2
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,48694,off,L05528PNOD1,10.56.122.244,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,L05528PNOD1,10.56.122.244,5666,2
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,L05528PNOD1,10.56.122.244,5666,3
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,39030,off,L05528PNOD2,10.56.122.245,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,46882,off,L05528PNOD2,10.56.122.245,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,L05528PNOD2,10.56.122.245,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,L05528PNOD2,10.56.122.245,5666,2
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,on,L05528PNOD2,10.56.122.245,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,40270,,L05820PAPP0,10.56.122.102,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,46782,off,L05820PAPP0,10.56.122.102,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,40030,off,L05918PAPP0,10.56.119.181,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,43996,,L05918PAPP0,10.56.119.181,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,47204,off,L05984PSQL0,10.56.122.212,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,41718,off,L05997PORA0,10.56.122.204,5666,2
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,45376,off,L05997PORA0,10.56.122.204,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,L05997PORA0,10.56.122.204,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,L05997PORA0,10.56.122.204,5666,3
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,34046,off,L05998PORA0,10.56.122.205,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,38178,off,L05998PORA0,10.56.122.205,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,47724,on,L05998PORA0,10.56.122.205,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,L05998PORA0,10.56.122.205,5666,2
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,on,L05998PORA0,10.56.122.205,5666,1
Assessment,BTG_Produccion,TCP6,L02633PAPP0,10.56.119.195,42610,on,L05998PORA0,10.56.122.205,5666,1
Assessment,BTG_Produccion,TCP6,L02633PAPP0,10.56.119.195,46316,off,L05998PORA0,10.56.122.205,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,45568,off,L06023PAPPO,10.56.122.113,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,,L06023PAPPO,10.56.122.113,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,35224,off,L06036PAPP0,10.56.113.190,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,41640,off,L06036PAPP0,10.56.113.190,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,L06036PAPP0,10.56.113.190,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,34510,off,L06100PAPP0,10.56.122.224,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,L06100PAPP0,10.56.122.224,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,on,L06100PAPP0,10.56.122.224,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,37798,,L06284PAPP0,10.56.113.202,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,46090,off,L06284PAPP0,10.56.113.202,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,,L06284PAPP0,10.56.113.202,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,L06284PAPP0,10.56.113.202,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,46960,timewait,L06387PAPP0,10.56.122.220,5666,24
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,47182,,L06387PAPP0,10.56.122.220,5666,2
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,timewait,L06387PAPP0,10.56.122.220,5666,14
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,,L06392PAPP0,10.56.122.88,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,39806,off,L06514PAPP0,10.56.122.215,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,48324,off,L06514PAPP0,10.56.122.215,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,L06514PAPP0,10.56.122.215,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,37222,on,NSCL116PNMG,10.56.113.153,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,off,NSCL116PNMG,10.56.113.153,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,35482,nscp.exe,NSCL139PAPP,10.56.113.169,5666,1
Assessment,BTG_Produccion,TCP,L02633PAPP0,10.56.119.195,dynamic,nscp.exe,NSCL169PFAP,10.56.113.241,5666,1
